time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
2:34.0,"{'player': 'L. Kornet', 'action': 'Defensive rebound by'}",17-21,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:29.0,"{'player': 'J. Tatum', 'action': 'makes 2-pt jump shot from 16 ft'}",19-21,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:07.0,"{'player': '', 'action': ''}",19-24,"{'player': 'T. Hardaway G. Williams', 'action': 'T. Hardaway makes 3-pt jump shot from 25 ft (assist by G. Williams )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:49.0,"{'player': 'P. Pritchard K. Irving', 'action': 'Turnover by P. Pritchard (lost ball; steal by K. Irving )'}",19-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:46.0,"{'player': '', 'action': ''}",19-24,"{'player': 'J. Green P. Pritchard', 'action': 'Turnover by J. Green (bad pass; steal by P. Pritchard )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:43.0,"{'player': 'P. Pritchard', 'action': 'misses 3-pt jump shot from 24 ft'}",19-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:42.0,"{'player': '', 'action': ''}",19-24,"{'player': '', 'action': 'Defensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:42.0,"{'player': '', 'action': ''}",19-24,"{'player': 'J. Hardy J. Green', 'action': 'J. Hardy enters the game for J. Green'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:42.0,"{'player': '', 'action': ''}",19-24,"{'player': 'D. Lively M. Kleber', 'action': 'D. Lively enters the game for M. Kleber'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:25.0,"{'player': '', 'action': ''}",19-24,"{'player': 'G. Williams', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:24.0,"{'player': '', 'action': ''}",19-24,"{'player': '', 'action': 'Offensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:24.0,"{'player': 'L. Kornet D. Lively', 'action': 'Loose ball foul by L. Kornet (drawn by D. Lively )'}",19-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:13.0,"{'player': '', 'action': ''}",19-24,"{'player': 'J. Hardy', 'action': 'misses 3-pt jump shot from 24 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:10.0,"{'player': 'L. Kornet', 'action': 'Defensive rebound by'}",19-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:02.0,"{'player': 'J. Tatum', 'action': 'makes 2-pt jump shot from 10 ft'}",21-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:02.0,"{'player': 'K. Irving J. Tatum', 'action': 'Shooting foul by K. Irving (drawn by J. Tatum )'}",21-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
1:02.0,"{'player': 'J. Tatum', 'action': 'makes free throw 1 of 1'}",22-24,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:47.0,"{'player': '', 'action': ''}",22-24,"{'player': 'S. Hauser K. Irving', 'action': 'Personal foul by S. Hauser (drawn by K. Irving )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:47.0,"{'player': '', 'action': ''}",22-25,"{'player': 'K. Irving', 'action': 'makes free throw 1 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:47.0,"{'player': '', 'action': ''}",22-26,"{'player': 'K. Irving', 'action': 'makes free throw 2 of 2'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:33.0,"{'player': 'J. Tatum', 'action': 'misses 3-pt jump shot from 27 ft'}",22-26,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:30.0,"{'player': '', 'action': ''}",22-26,"{'player': 'D. Lively', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:10.0,"{'player': '', 'action': ''}",22-26,"{'player': 'K. Irving', 'action': 'misses 2-pt jump shot from 16 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:07.0,"{'player': 'L. Kornet', 'action': 'Defensive rebound by'}",22-26,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
0:00.0,"{'player': 'J. Tatum', 'action': 'makes 2-pt jump shot from 9 ft'}",24-26,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:48.0,"{'player': '', 'action': ''}",24-28,"{'player': 'D. Lively L. Dončić', 'action': 'D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:31.0,"{'player': 'P. Pritchard', 'action': 'misses 3-pt jump shot from 23 ft'}",24-28,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:28.0,"{'player': 'S. Hauser', 'action': 'Offensive rebound by'}",24-28,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:22.0,"{'player': 'J. Tatum', 'action': 'misses 3-pt jump shot from 26 ft'}",24-28,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
