Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Sun, Nov 19, 2023",Cleveland Cavaliers,Denver Nuggets,121,109,Cleveland Cavaliers,Denver Nuggets,12
"Sun, Nov 19, 2023",Dallas Mavericks,Sacramento Kings,113,129,Sacramento Kings,Dallas Mavericks,16
"Sun, Nov 19, 2023",Memphis Grizzlies,Boston Celtics,100,102,Boston Celtics,Memphis Grizzlies,2
"Sun, Nov 19, 2023",Utah Jazz,Phoenix Suns,137,140,Phoenix Suns,Utah Jazz,3
"Sun, Nov 19, 2023",Portland Trail Blazers,Oklahoma City Thunder,91,134,Oklahoma City Thunder,Portland Trail Blazers,43
"Sun, Nov 19, 2023",Los Angeles Lakers,Houston Rockets,105,104,Los Angeles Lakers,Houston Rockets,1
"Mon, Nov 20, 2023",Charlotte Hornets,Boston Celtics,121,118,Charlotte Hornets,Boston Celtics,3
"Mon, Nov 20, 2023",Detroit Pistons,Denver Nuggets,103,107,Denver Nuggets,Detroit Pistons,4
"Mon, Nov 20, 2023",Washington Wizards,Milwaukee Bucks,129,142,Milwaukee Bucks,Washington Wizards,13
"Mon, Nov 20, 2023",Chicago Bulls,Miami Heat,100,118,Miami Heat,Chicago Bulls,18
"Mon, Nov 20, 2023",Minnesota Timberwolves,New York Knicks,117,100,Minnesota Timberwolves,New York Knicks,17
"Mon, Nov 20, 2023",New Orleans Pelicans,Sacramento Kings,129,93,New Orleans Pelicans,Sacramento Kings,36
"Mon, Nov 20, 2023",San Antonio Spurs,Los Angeles Clippers,99,124,Los Angeles Clippers,San Antonio Spurs,25
"Mon, Nov 20, 2023",Golden State Warriors,Houston Rockets,121,116,Golden State Warriors,Houston Rockets,5
"Tue, Nov 21, 2023",Orlando Magic,Toronto Raptors,126,107,Orlando Magic,Toronto Raptors,19
"Tue, Nov 21, 2023",Atlanta Hawks,Indiana Pacers,152,157,Indiana Pacers,Atlanta Hawks,5
"Tue, Nov 21, 2023",Philadelphia 76ers,Cleveland Cavaliers,119,122,Cleveland Cavaliers,Philadelphia 76ers,3
"Tue, Nov 21, 2023",Phoenix Suns,Portland Trail Blazers,120,107,Phoenix Suns,Portland Trail Blazers,13
"Tue, Nov 21, 2023",Los Angeles Lakers,Utah Jazz,131,99,Los Angeles Lakers,Utah Jazz,32
"Wed, Nov 22, 2023",Charlotte Hornets,Washington Wizards,117,114,Charlotte Hornets,Washington Wizards,3
"Wed, Nov 22, 2023",Orlando Magic,Denver Nuggets,124,119,Orlando Magic,Denver Nuggets,5
"Wed, Nov 22, 2023",Atlanta Hawks,Brooklyn Nets,147,145,Atlanta Hawks,Brooklyn Nets,2
"Wed, Nov 22, 2023",Boston Celtics,Milwaukee Bucks,119,116,Boston Celtics,Milwaukee Bucks,3
"Wed, Nov 22, 2023",Cleveland Cavaliers,Miami Heat,96,129,Miami Heat,Cleveland Cavaliers,33
"Wed, Nov 22, 2023",Indiana Pacers,Toronto Raptors,131,132,Toronto Raptors,Indiana Pacers,1
"Wed, Nov 22, 2023",Houston Rockets,Memphis Grizzlies,111,91,Houston Rockets,Memphis Grizzlies,20
"Wed, Nov 22, 2023",Minnesota Timberwolves,Philadelphia 76ers,112,99,Minnesota Timberwolves,Philadelphia 76ers,13
"Wed, Nov 22, 2023",New Orleans Pelicans,Sacramento Kings,117,112,New Orleans Pelicans,Sacramento Kings,5
"Wed, Nov 22, 2023",Oklahoma City Thunder,Chicago Bulls,116,102,Oklahoma City Thunder,Chicago Bulls,14
"Wed, Nov 22, 2023",San Antonio Spurs,Los Angeles Clippers,102,109,Los Angeles Clippers,San Antonio Spurs,7
"Wed, Nov 22, 2023",Phoenix Suns,Golden State Warriors,123,115,Phoenix Suns,Golden State Warriors,8
"Wed, Nov 22, 2023",Portland Trail Blazers,Utah Jazz,121,105,Portland Trail Blazers,Utah Jazz,16
"Wed, Nov 22, 2023",Los Angeles Lakers,Dallas Mavericks,101,104,Dallas Mavericks,Los Angeles Lakers,3
